# X	Y	avg	sigma	chip	ch
-4.87224	-0.56258	265	5.71	0	0
-3.89779	0	269	6.28	0	2
-3.89779	-1.12518	268	6.02	0	4
-5.84669	-1.12518	262	5.47	0	6
-2.92333	-1.68778	262	5.44	0	8
-5.84669	-2.25038	255	5.64	0	10
-4.87224	-1.68778	263	5.27	0	12
-1.94888	-1.12518	260	6.07	0	14
-2.92333	-0.56258	249	5.93	0	16
-1.94888	0	237	6.09	0	18
-2.92333	0.56258	250	6.28	0	20
-1.94888	1.12518	238	6.4	0	22
-0.974432	0.56258	237	6.87	0	24
-0.974432	1.68778	248	7.96	0	26
-1.94888	2.25038	248	8.49	0	28
-1.94888	3.37558	246	37.6	0	30
-2.92333	3.93818	237	7.45	0	32
-2.92333	2.81298	235	7.64	0	34
-3.89779	3.37558	244	7.73	0	36
-3.89779	2.25038	238	6.23	0	38
-2.92333	1.68778	249	6.35	0	40
-3.89779	1.12518	239	5.64	0	42
-2.92333	5.06338	236	5.62	0	44
-6.82114	-0.56258	232	6.02	0	46
-3.89779	4.50078	242	5.8	0	48
-4.87224	3.93818	226	4.75	0	50
-4.87224	2.81298	232	5.69	0	52
-4.87224	1.68778	234	5.53	0	54
-5.84669	2.25038	239	4.87	0	56
-5.84669	0	236	5.14	0	58
-4.87224	0.56258	232	5.51	0	60
-5.84669	1.12518	229	6.51	0	62
-1.94888	-3.37558	210	7.63	1	0
-0.974432	-3.93818	214	6.91	1	2
-1.94888	-4.50078	216	7.15	1	4
-0	-4.50078	216	7.1	1	6
-2.92333	-5.06338	204	6.88	1	8
0.974432	-3.93818	215	6.19	1	10
0.974432	-5.06338	212	5.88	1	12
-3.89779	-4.50078	204	6.79	1	14
-3.89779	-5.62598	213	6.62	1	16
-1.94888	-5.62598	211	7.31	1	18
-0.974432	-5.06338	214	7.51	1	20
-0.974432	-6.18858	211	7.86	1	22
-0	-5.62598	213	8.04	1	24
0.974432	-6.18858	214	9.01	1	26
1.94888	-5.62598	211	9.48	1	28
1.94888	-4.50078	214	40.5	1	30
2.92333	-5.06338	212	9.22	1	32
3.89779	-5.62598	209	8.83	1	34
-0	-1.12518	208	8.47	1	36
-0	-2.25038	208	8.14	1	38
0.974432	-2.81298	215	7.85	1	40
-0	-3.37558	215	7.5	1	42
-0.974432	-0.56258	207	7.52	1	44
-2.92333	-2.81298	206	7.32	1	46
-3.89779	-2.25038	214	6.65	1	48
-4.87224	-2.81298	201	6.46	1	50
-1.94888	-2.25038	215	6.79	1	52
-0.974432	-1.68778	212	6.33	1	54
-0.974432	-2.81298	207	7.12	1	56
-2.92333	-3.93818	207	12.8	1	58
-4.87224	-3.93818	214	7.99	1	60
-3.89779	-3.37558	207	12	1	62
3.89779	-1.12518	254	6.35	2	0
3.89779	-0	250	6.01	2	2
4.87224	-0.56258	251	5.39	2	4
5.84669	-1.12518	239	5.27	2	6
4.87224	1.68778	238	5.33	2	8
5.84669	-0	241	5.32	2	10
6.82114	-0.56258	236	5.57	2	12
5.84669	1.12518	237	5.32	2	14
5.84669	2.25038	227	5.94	2	16
4.87224	0.56258	227	6.07	2	18
3.89779	1.12518	226	6.46	2	20
2.92333	0.56258	222	7.14	2	22
2.92333	-0.56258	227	7.01	2	24
1.94888	-0	219	8.12	2	26
1.94888	1.12518	225	8.14	2	28
2.92333	-1.68778	219	37.3	2	30
1.94888	-2.25038	222	8.13	2	32
1.94888	-1.12518	224	7.44	2	34
0	-0	221	7.33	2	36
0.974432	-0.56258	213	6.45	2	38
0.974432	-1.68778	218	6.64	2	40
1.94888	-3.37558	213	5.71	2	42
2.92333	-2.81298	213	5.51	2	44
2.92333	-3.93818	219	6.14	2	46
3.89779	-4.50078	221	5.88	2	48
3.89779	-3.37558	228	5.07	2	50
4.87224	-3.93818	215	4.9	2	52
4.87224	-1.68778	220	5.48	2	54
4.87224	-2.81298	213	4.64	2	56
3.89779	-2.25038	221	5.52	2	58
5.84669	-2.25038	212	6.16	2	62
1.94888	4.50078	307	5.25	3	0
1.94888	5.62598	297	5.65	3	2
2.92333	5.06338	292	4.89	3	4
0.974432	5.06338	290	4.84	3	6
0	5.62598	271	5.8	3	8
0.974432	6.18858	273	5.71	3	10
-0.974432	6.18858	268	5.36	3	12
0	4.50078	265	5.12	3	14
0.974432	3.93818	259	6.53	3	16
0	3.37558	255	6.28	3	18
-2.92333	6.18858	252	6.12	3	20
-1.94888	5.62598	245	7.33	3	22
-0.974432	5.06338	244	7.53	3	24
-0.974432	3.93818	242	7.65	3	26
-1.94888	4.50078	238	7.74	3	28
-0.974432	2.81298	239	36.6	3	30
0	2.25038	232	8.18	3	32
0	1.12518	241	7.17	3	34
0.974432	0.56258	240	6.64	3	36
0.974432	1.68778	234	6.91	3	38
3.89779	2.25038	235	6.49	3	40
2.92333	1.68778	239	5.67	3	42
2.92333	2.81298	236	5.9	3	44
4.87224	2.81298	227	5.27	3	46
4.87224	3.93818	231	5.75	3	48
3.89779	3.37558	230	5.43	3	50
1.94888	2.25038	227	4.68	3	52
0.974432	2.81298	221	5.2	3	54
1.94888	3.37558	230	5.25	3	56
2.92333	3.93818	228	5.17	3	58
3.89779	5.62598	228	5	3	60
3.89779	4.50078	230	6.54	3	62
