# X	Y	avg	sigma	chip	ch
-4.87224	-0.56258	275	6.4	0	0
-3.89779	0	263	5.82	0	2
-3.89779	-1.12518	263	5.62	0	4
-5.84669	-1.12518	263	5.54	0	6
-2.92333	-1.68778	265	5.3	0	8
-5.84669	-2.25038	261	5.82	0	10
-4.87224	-1.68778	266	5.19	0	12
-1.94888	-1.12518	246	5.97	0	14
-2.92333	-0.56258	257	6.04	0	16
-1.94888	0	252	5.52	0	18
-2.92333	0.56258	250	5.88	0	20
-1.94888	1.12518	248	6.59	0	22
-0.974432	0.56258	249	6.54	0	24
-0.974432	1.68778	242	6.78	0	26
-1.94888	2.25038	238	6.83	0	28
-1.94888	3.37558	247	34	0	30
-2.92333	3.93818	239	6.82	0	32
-2.92333	2.81298	228	6.43	0	34
-3.89779	3.37558	243	6.47	0	36
-3.89779	2.25038	238	5.98	0	38
-2.92333	1.68778	240	5.67	0	40
-3.89779	1.12518	240	5.43	0	42
-2.92333	5.06338	253	5.3	0	44
-6.82114	-0.56258	231	5.57	0	46
-3.89779	4.50078	239	4.93	0	48
-4.87224	3.93818	238	4.86	0	50
-4.87224	2.81298	232	5.14	0	52
-4.87224	1.68778	229	4.69	0	54
-5.84669	2.25038	239	4.54	0	56
-5.84669	0	230	4.79	0	58
-4.87224	0.56258	236	4.91	0	60
-5.84669	1.12518	223	5.11	0	62
-1.94888	-3.37558	217	8.22	1	0
-0.974432	-3.93818	214	6.93	1	2
-1.94888	-4.50078	225	6.94	1	4
-0	-4.50078	212	6.68	1	6
-2.92333	-5.06338	213	6.2	1	8
0.974432	-3.93818	227	6	1	10
0.974432	-5.06338	214	5.93	1	12
-3.89779	-4.50078	210	6.65	1	14
-3.89779	-5.62598	215	6.48	1	16
-1.94888	-5.62598	212	6.81	1	18
-0.974432	-5.06338	205	7	1	20
-0.974432	-6.18858	207	7.61	1	22
-0	-5.62598	212	7.45	1	24
0.974432	-6.18858	215	7.78	1	26
1.94888	-5.62598	212	8.33	1	28
1.94888	-4.50078	215	35.3	1	30
2.92333	-5.06338	211	8.67	1	32
3.89779	-5.62598	214	7.73	1	34
-0	-1.12518	212	7.72	1	36
-0	-2.25038	219	8.31	1	38
0.974432	-2.81298	216	7.31	1	40
-0	-3.37558	206	7.28	1	42
-0.974432	-0.56258	217	7.24	1	44
-2.92333	-2.81298	222	7.47	1	46
-3.89779	-2.25038	218	7.17	1	48
-4.87224	-2.81298	213	6.21	1	50
-1.94888	-2.25038	214	6.05	1	52
-0.974432	-1.68778	207	6.9	1	54
-0.974432	-2.81298	226	6.3	1	56
-2.92333	-3.93818	209	7.68	1	58
-4.87224	-3.93818	220	7.69	1	60
-3.89779	-3.37558	213	7.12	1	62
3.89779	-1.12518	256	6.64	2	0
3.89779	-0	248	6.77	2	2
4.87224	-0.56258	257	6.51	2	4
5.84669	-1.12518	244	6.2	2	6
4.87224	1.68778	236	5.99	2	8
5.84669	-0	232	6.24	2	10
6.82114	-0.56258	234	6.55	2	12
5.84669	1.12518	230	6.02	2	14
5.84669	2.25038	239	5.49	2	16
4.87224	0.56258	226	5.6	2	18
3.89779	1.12518	223	6.41	2	20
2.92333	0.56258	227	6.07	2	22
2.92333	-0.56258	226	6.47	2	24
1.94888	-0	225	6.68	2	26
1.94888	1.12518	218	7.27	2	28
2.92333	-1.68778	213	32.9	2	30
1.94888	-2.25038	215	6.95	2	32
1.94888	-1.12518	220	7.43	2	34
0	-0	223	6.75	2	36
0.974432	-0.56258	218	6.45	2	38
0.974432	-1.68778	214	5.7	2	40
1.94888	-3.37558	218	5.96	2	42
2.92333	-2.81298	214	5.22	2	44
2.92333	-3.93818	223	5.9	2	46
3.89779	-4.50078	214	4.81	2	48
3.89779	-3.37558	218	5.47	2	50
4.87224	-3.93818	224	5.2	2	52
4.87224	-1.68778	209	5.28	2	54
4.87224	-2.81298	215	4.49	2	56
3.89779	-2.25038	223	5.28	2	58
5.84669	-2.25038	214	4.56	2	62
1.94888	4.50078	302	4.97	3	0
1.94888	5.62598	292	4.88	3	2
2.92333	5.06338	284	5.35	3	4
0.974432	5.06338	282	5.21	3	6
0	5.62598	279	5.07	3	8
0.974432	6.18858	279	5.06	3	10
-0.974432	6.18858	270	5.53	3	12
0	4.50078	263	5.36	3	14
0.974432	3.93818	265	5.28	3	16
0	3.37558	255	5.81	3	18
-2.92333	6.18858	253	5.76	3	20
-1.94888	5.62598	250	6.21	3	22
-0.974432	5.06338	246	7.14	3	24
-0.974432	3.93818	248	7.1	3	26
-1.94888	4.50078	246	7.75	3	28
-0.974432	2.81298	240	32.4	3	30
0	2.25038	239	7.02	3	32
0	1.12518	241	6.9	3	34
0.974432	0.56258	240	6.35	3	36
0.974432	1.68778	240	6.13	3	38
3.89779	2.25038	230	6.32	3	40
2.92333	1.68778	230	6.18	3	42
2.92333	2.81298	226	5.39	3	44
4.87224	2.81298	235	6.08	3	46
4.87224	3.93818	235	5.77	3	48
3.89779	3.37558	235	5.67	3	50
1.94888	2.25038	231	5.57	3	52
0.974432	2.81298	229	5.11	3	54
1.94888	3.37558	230	5.42	3	56
2.92333	3.93818	231	5.52	3	58
3.89779	5.62598	223	5.15	3	60
3.89779	4.50078	228	5.2	3	62
