#evt	dac	c0,C30HG	c0,C30LG	c1,C30HG	c1,C30LG	c2,C30HG	c2,C30LG	c3,C30HG	c3,C30LG	
88	3560	4	768	4	751	4	732	4	686	4	4	4	4	
89	3600	4	761	4	749	4	720	4	674	4	4	4	4	
90	3640	4	747	4	727	4	717	4	657	4	4	4	4	
91	3680	4	735	4	719	4	698	4	649	4	4	4	4	
92	3720	4	728	4	724	4	709	4	644	4	4	4	4	
93	3760	4	738	4	718	4	701	4	631	4	4	4	4	
94	3800	4	723	4	709	4	686	4	623	4	4	4	4	
95	3840	4	709	4	694	4	671	4	606	4	4	4	4	
96	3880	4	693	4	676	4	653	4	585	4	4	4	4	
97	3920	4	690	4	673	4	652	4	584	4	4	4	4	
98	3960	4	680	4	676	4	643	4	575	4	4	4	4	
99	4000	4	666	4	659	4	633	4	554	4	4	4	4	
